,LSOA,LSOA Name,IMDDecile,IMDRank,Healthfulness (Median),Daily Opening Hours,Vehicle Accessibility
420,E01007314,,,,1.75,12.857142857142858,
421,E01012367,,,,0.4,11.142857142857142,
422,E01012408,,,,0.4,10.857142857142858,
423,E01012413,,,,-0.6,15.857142857142858,
424,E01012431,,,,-0.6,24.0,
425,E01012441,,,,-0.8,10.0,
426,E01012458,,,,0.4,12.857142857142858,
427,E01012459,,,,0.4,0.0,
428,E01012480,,,,0.4,12.857142857142858,
429,E01012507,,,,0.4,12.857142857142858,
430,E01012509,,,,1.75,13.714285714285714,
431,E01012568,,,,1.75,13.714285714285714,
432,E01012570,,,,-0.6,15.857142857142858,
433,E01018322,,,,1.75,13.714285714285714,
434,E01018326,,,,0.4,8.571428571428571,
435,E01018329,,,,-0.6,15.0,
436,E01018330,,,,0.4,12.857142857142858,
437,E01018338,,,,-0.6,16.0,
438,E01018343,,,,0.10000000000000003,15.5,
439,E01018367,,,,-0.6,24.0,
440,E01018385,,,,-0.6,15.0,
441,E01018424,,,,1.75,13.714285714285714,
442,E01018519,,,,-0.2,10.857142857142858,
443,E01018521,,,,0.4,12.857142857142858,
444,E01018534,,,,1.075,13.285714285714285,
445,E01018551,,,,1.75,13.714285714285714,
446,E01018606,,,,1.75,13.714285714285714,
447,E01018688,,,,1.275,14.857142857142858,
448,E01018697,,,,-0.6,16.0,
449,E01018714,,,,1.75,11.857142857142858,
450,E01018747,,,,1.75,13.714285714285714,
451,E01024940,,,,1.75,13.714285714285714,
452,E01025407,,,,1.75,13.714285714285714,
453,E01025422,,,,1.75,13.714285714285714,
454,E01025457,,,,1.75,12.142857142857142,
455,E01025473,,,,-0.6,14.857142857142858,
456,E01025500,,,,0.4,13.285714285714285,
457,E01025517,,,,0.4,12.857142857142858,
458,E01025518,,,,-0.8,9.428571428571429,
459,E01025526,,,,-0.6,24.0,
460,E01032903,,,,0.4,12.857142857142858,
461,E01032905,,,,0.8,15.0,
462,E01033095,,,,1.75,16.285714285714285,
463,E01033300,,,,-0.8,8.571428571428571,
464,E01033302,,,,0.4,10.285714285714286,
465,Out of Range,,,,0.6000000000000001,13.285714285714285,
466,W01000199,,,,1.75,13.714285714285714,
467,W01000213,,,,0.4,12.857142857142858,
468,W01000217,,,,-0.6,15.0,
469,W01000221,,,,-0.6,15.0,
470,W01000231,,,,-0.6,16.0,
471,W01000234,,,,-0.6,16.0,
472,W01000237,,,,1.75,12.857142857142858,
473,W01000277,,,,1.75,13.714285714285714,
474,W01000283,,,,-0.6,0.0,
475,W01000290,,,,0.475,10.642857142857142,
476,W01000293,,,,-0.6,16.714285714285715,
477,W01000304,,,,0.4,12.857142857142858,
478,W01000314,,,,0.4,10.285714285714286,
479,W01000319,,,,0.4,12.857142857142858,
480,W01000328,,,,-0.8,19.0,
481,W01000329,,,,1.75,13.714285714285714,
482,W01000332,,,,-0.09999999999999998,12.0,
483,W01000334,,,,0.4,12.857142857142858,
484,W01000337,,,,0.4,11.142857142857142,
485,W01000350,,,,1.75,12.857142857142858,
